Kodu,Parfüm Adı,Cinsiyet,Esans,Alkol,Toplam Stok,Fiyat MG/$/KG,Fiyat TL/50 GR,bas_notalar,kalp_notalar,dip_notalar,mevsim,gunun_zamani,ortam,kiyafet_stili,koku_ailesi,koku_yogunlugu,duygusal_etiketler,aciklama_tr
P-101,Paco Rabanne - Olympea,Kadın,,,50.0,105,,"Yeşil Mandalina, Deniz Notası, Zencefil","Vanilya, Yasemin, Tuzu","Ambergris, Sedir, Vanilya","Yaz,İlkbahar","Gündüz,Gece","Özel Davet,Romantik,Gece Hayatı","Şık,Formal","Oryantal,Gourmand",Orta,"Çekici,Modern,Parlak","Olympea, tatlı vanilya ve deniz notalarının birleşimiyle modern ve çekici bir kadın kokusu."
P-102,Paco Rabanne - invictus,Erkek,,,200.0,150,,"Greyfurt, Deniz Notası, Mandalina","Defne Yaprağı, Yasemin, Defne","Ambergris, Meşe, Misk","Yaz,İlkbahar","Gündüz,Gece","Ofis,Günlük,Gece Hayatı","Casual,Şık","Narenciye,Aromatik",Orta,"Enerjik,Canlandırıcı,Modern","Invictus, taze narenciye ve aromatik notalarla enerjik ve dinamik bir erkek parfümü."
P-103,Paco Rabanne - invictus victory elixir,Erkek,,,100.0,108,,"Greyfurt, Mandalina, Tarçın","Paçuli, Amber, Vanilya","Misk, Sedir, Tütün","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Oryantal,Odunsu",Çok Yoğun,"Güçlü,Çekici,Yoğun","Invictus Victory Elixir, zengin amber ve odunsu notalarla geceye özel yoğun ve güçlü bir erkek kokusu."
P-104,Paco Rabanne - One milione,Erkek,,,100.0,130,,"Greyfurt, Nane, Mandalina","Tarçın, Baharatlar, Yasemin","Amber, Misk, Tütün","Sonbahar,Kış",Gece,"Gece Hayatı,Özel Davet","Şık,Formal","Oryantal,Aromatik",Yoğun,"Çekici,Güçlü,Erkeksi","One Million, baharatlı ve odunsu notaların birleşimiyle dikkat çeken güçlü ve çekici bir erkek parfümü."
P-105,Paco Rabanne - One milione Elixir,Erkek,,,0.0,168,,"Tarçın, Mandalina, Karanfil","Paçuli, Amber, Vanilya","Misk, Tütün, Sedir","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Oryantal,Odunsu",Çok Yoğun,"Yoğun,Çekici,Güçlü","One Million Elixir, zengin baharat ve odunsu notalarla geceye özel çok yoğun ve etkileyici bir erkek kokusu."
P-106,Paco  Rabonne -  Lady Million Royal,Kadın,,,200.0,90,,"Bergamot, Mandalina, Armut","Yasemin, Gardenya, Portakal Çiçeği","Vanilya, Paçuli, Amber","Sonbahar,Kış",Gece,"Gece Hayatı,Özel Davet,Romantik","Şık,Formal","Çiçeksi,Oryantal",Yoğun,"çekici,lüks,özgüvenli","Lady Million Royal, zengin ve sofistike bir çiçeksi-oryantal kokudur. Gece hayatı ve özel davetler için ideal bir seçimdir."
P-107,Paco Rabanne - Black XS,Erkek,,,200.0,,,"Armut, Tarçın, Bergamot","Karanfil, Siyah Biber, Kakule","Sedir, Vetiver, Paçuli","Sonbahar,Kış",Gece,"Gece Hayatı,Özel Davet","Şık,Formal","Odunsu,Aromatik",Orta,"enerjik,cesur,modern","Black XS, dinamik ve enerjik bir erkek parfümüdür. Baharatlı ve odunsu notalarıyla gece kullanımına uygundur."
P-108,Paco Rabanne - One Million Lucky,Erkek,,,300.0,,,"Yeşil Elma, Fıstık, Bergamot","Fındık, Tarçın, Yasemin","Paçuli, Sedir, Amber","Sonbahar,Kış",Gece,"Gece Hayatı,Özel Davet","Şık,Formal","Gourmand,Odunsu",Yoğun,"lüks,çekici,özgüvenli","One Million Lucky, tatlı ve odunsu notaların harmanlandığı modern bir erkek parfümüdür. Gece ve özel anlar için uygundur."
P-121,Parfums De Marley - Althair,Unisex,,,500.0,?,,"Bergamot, Lavanta, Nane","Sandal Ağacı, Yasemin, Gül","Misk, Amber, Vanilya","İlkbahar,Yaz",Her İkisi,"Ofis,Günlük,Açık Hava","Casual,Formal","Aromatik,Odunsu",Orta,"ferah,rahatlatıcı,zarif","Althair, taze ve aromatik notaların dengeli birleşimiyle her ortamda kullanılabilen unisex bir parfümdür."
P-122,Parfums De Marley - Delina Exclusif,Kadın,,,300.0,315,,"Limon, Şeftali, Kırmızı Meyveler","Gül, Orkide, Misk","Vanilya, Amber, Sedir","Sonbahar,Kış",Gece,"Özel Davet,Romantik,Gece Hayatı","Şık,Formal","Çiçeksi,Oryantal",Yoğun,"çekici,zarif,lüks","Delina Exclusif, zengin çiçeksi ve oryantal notalarıyla kadınlar için sofistike ve baştan çıkarıcı bir parfümdür."
P-123,Parfums De Marley - Layton,Unisex,,,300.0,160,,"Elma, Lavanta, Bergamot","Tarçın, Yasemin, Gül","Vanilya, Sedir, Paçuli","Sonbahar,Kış",Her İkisi,"Ofis,Özel Davet,Gece Hayatı","Formal,Şık","Odunsu,Oryantal",Orta,"lüks,özgüvenli,çekici","Layton, odunsu ve baharatlı notaların modern bir karışımıdır. Hem gündüz hem gece kullanıma uygundur."
P-124,Parfums De Marley - Pegasus,Erkek,,,100.0,115,,"Badem, Lavanta, Bergamot","Yasemin, Tarçın, Gül","Vanilya, Ambergris, Sedir","Sonbahar,Kış",Gece,"Gece Hayatı,Özel Davet","Şık,Formal","Odunsu,Gourmand",Yoğun,"lüks,çekici,özgüvenli","Pegasus, badem ve odunsu notaların birleşimiyle sofistike ve kalıcı bir erkek parfümüdür."
P-125,Parfums De Marley - Valaya,Kadın,,,300.0,225,,"Bergamot, Mandalina, Şeftali","Gül, Yasemin, Misk","Vanilya, Amber, Sedir","İlkbahar,Sonbahar",Her İkisi,"Ofis,Günlük,Özel Davet","Şık,Formal","Çiçeksi,Oryantal",Orta,"zarif,romantik,lüks","Valaya, zarif çiçeksi ve oryantal notalarıyla kadınlar için sofistike bir parfümdür."
P-126,Parfums De Marley - Herod,Erkek,,,100.0,140,,"Tarçın, Kırmızı Biber, Labdanum","Tütün, Vanilya, Paçuli","Sedir, Tonka Fasulyesi, Misk","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Formal,Şık","Odunsu,Oryantal",Çok Yoğun,"güçlü,maskülen,karizmatik","Herod, baharatlı ve odunsu notaların yoğun birleşimiyle güçlü ve karizmatik bir erkek parfümüdür."
P-127,Parfums De Marley - Carlisle,Unisex,,,200.0,148,,"Bergamot, Lavanta, Nane","Gül, Yasemin, Misk","Sedir, Amber, Vanilya","İlkbahar,Yaz",Her İkisi,"Ofis,Günlük,Açık Hava","Casual,Formal","Aromatik,Odunsu",Orta,"ferah,rahatlatıcı,zarif","Carlisle, taze ve aromatik notaların dengeli birleşimiyle unisex kullanıma uygun bir parfümdür."
P-128,Parfums De Marley - Greenly,Unisex,,,200.0,,,"Yeşil Elma, Nane, Bergamot","Fesleğen, Yasemin, Lavanta","Misk, Sedir, Amber","İlkbahar,Yaz",Gündüz,"Ofis,Günlük,Açık Hava","Casual,Sportif","Taze,Aromatik",Hafif,"canlı,enerjik,ferahlatıcı","Greenly, taze ve yeşil notalarla dolu hafif ve ferahlatıcı bir unisex parfümdür."
P-129,Parfums De Marley - Oriana,Kadın,,,200.0,,,"Narenciye, Şeftali, Bergamot","Gül, Yasemin, Misk","Vanilya, Amber, Sedir","İlkbahar,Sonbahar",Her İkisi,"Ofis,Günlük,Özel Davet","Şık,Formal","Çiçeksi,Oryantal",Orta,"zarif,romantik,lüks","Oriana, kadınlar için çiçeksi ve oryantal notaların zarif birleşimiyle sofistike bir parfümdür."
P-130*,Parfums De Marley - Meliora,Kadın,,,200.0,,,"Bergamot, Şeftali, Narenciye","Gül, Yasemin, Misk","Vanilya, Amber, Sedir","İlkbahar,Sonbahar",Her İkisi,"Ofis,Günlük,Özel Davet","Şık,Formal","Çiçeksi,Oryantal",Orta,"zarif,romantik,lüks","Meliora, kadınlar için taze ve çiçeksi notaların dengeli birleşimiyle sofistike bir parfümdür."
P-131*,Parfums De Marley - Safanad,Kadın,,,200.0,,,"Narenciye, Yasemin, Misk","Gül, Amber, Sedir","Vanilya, Paçuli, Misk","İlkbahar,Sonbahar",Her İkisi,"Ofis,Günlük,Özel Davet","Şık,Formal","Çiçeksi,Oryantal",Orta,"zarif,romantik,lüks","Safanad, kadınlar için narenciye ve çiçeksi notaların zarif birleşimiyle sofistike bir parfümdür."
P-132*,Parfums De Marley - Sedbury,Kadın,,,200.0,,,"Bergamot, Lavanta, Narenciye","Gül, Yasemin, Misk","Vanilya, Amber, Sedir","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Oryantal,Odunsu",Yoğun,"lüks,çekici,özgüvenli","Sedbury, odunsu ve oryantal notaların birleşimiyle kadınlar için sofistike ve etkileyici bir parfümdür."
P-141,Penhaligon's – The Ruthless Countess Dorothea,Kadın,,,100.0,80,,"Bergamot, Mandalina, Siyah Frenk Üzümü","Gül, Yasemin, İris","Paçuli, Amber, Misk, Vanilya","Sonbahar,Kış",Gece,"Özel Davet,Romantik","Şık,Formal","Çiçeksi,Oryantal",Yoğun,"Gizemli,Çekici,Lüks","The Ruthless Countess Dorothea, sofistike ve büyüleyici çiçeksi-oriental bir parfümdür. Güçlü ve zarif kadınlar için tasarlanmıştır."
P-142,Penhaligon's - Halfeti,Unisex,,,100.0,,,"Bergamot, Limon, Siyah Frenk Üzümü","Gül, Tarçın, Karanfil","Sedir, Paçuli, Vanilya, Amber","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Oryantal,Odunsu",Yoğun,"Güçlü,Çekici,Mistik","Halfeti, zengin baharat ve odunsu notaların harmanlandığı yoğun ve kalıcı bir unisex parfümdür. Tutkulu ve etkileyici bir iz bırakır."
P-143,Penhaligon's - Changing Constance,Kadın,,,100.0,,,"Bergamot, Greyfurt, Nane","Lavanta, Sardunya, Yasemin","Sedir, Misk, Amber","İlkbahar,Yaz",Gündüz,"Ofis,Günlük,Açık Hava","Casual,Şık","Aromatik,Taze",Orta,"Ferahlık,Canlılık,Neşe","Changing Constance, taze ve aromatik notalarla enerjik ve modern bir kadın parfümüdür. Günlük kullanıma uygundur."
P-144,Penhaligon's - The Tragedy of Lord George,Erkek,,,200.0,,,"Bergamot, Tarhun, Kişniş","Lavanta, Sardunya, Yasemin","Paçuli, Vetiver, Amber","İlkbahar,Sonbahar","Gündüz,Gece","Ofis,Özel Davet","Klasik,Formal","Aromatik,Odunsu",Orta,"Zarif,Karizmatik,Asil","The Tragedy of Lord George, klasik aromatik ve odunsu notaların dengeli birleşimiyle sofistike bir erkek parfümüdür."
P-145*,Penhaligon's - Endymion,Erkek,,,200.0,,,"Bergamot, Lavanta, Biber","Sakız Ağacı, Kakule, Adaçayı","Paçuli, Amber, Misk","İlkbahar,Sonbahar","Gündüz,Gece","Ofis,Özel Davet","Klasik,Formal","Aromatik,Odunsu",Orta,"Sakin,Özgüvenli,Erkeksi","Endymion, aromatik ve odunsu notaların uyumuyla modern ve sofistike bir erkek kokusudur. Günlük ve özel anlarda tercih edilir."
P-151,Prada - Luna Rossa Carbon,Erkek,,,300.0,170,,"Greyfurt, Biber, Lavanta","Adaçayı, Paçuli","Karbon, Amber, Misk","İlkbahar,Sonbahar",Gündüz,"Ofis,Günlük","Casual,Sportif","Aromatik,Odunsu",Orta,"Dinamik,Modern,Enerjik","Luna Rossa Carbon, taze ve aromatik notalarla teknolojik ve modern bir erkek parfümüdür. Günlük kullanım için idealdir."
P-152,Prada - Luna Rossa Ocean,Erkek,,,100.0,145,,"Nane, Bergamot, Deniz Notaları","Lavanta, Adaçayı","Paçuli, Ambergris","Yaz,İlkbahar",Gündüz,"Günlük,Açık Hava","Casual,Sportif","Taze,Aromatik",Hafif,"Ferahlatıcı,Canlandırıcı,Serinletici","Luna Rossa Ocean, deniz esintileri ve taze aromatik notalarla yaz ve bahar ayları için ferahlatıcı bir erkek parfümüdür."
P-153,Prada - Paradoxe,Kadın,,,100.0,120,,"Bergamot, Mandalina, Siyah Frenk Üzümü","Gül, Yasemin, İris","Misk, Amber, Vanilya","İlkbahar,Sonbahar","Gündüz,Gece","Özel Davet,Romantik","Şık,Formal","Çiçeksi,Oryantal",Orta,"Zarif,Çekici,Lüks","Prada Paradoxe, sofistike çiçeksi ve oryantal notaların dengesiyle modern ve feminen bir kadın parfümüdür."
P-154,Prada - Parodoxe intense,Kadın,,,400.0,95,,"Bergamot, Mandalina, Siyah Frenk Üzümü","Gül, Yasemin, İris","Misk, Amber, Vanilya","Sonbahar,Kış",Gece,"Özel Davet,Romantik","Şık,Formal","Çiçeksi,Oryantal",Yoğun,"Çekici,Gizemli,Lüks","Paradoxe Intense, Paradoxe'nin daha yoğun ve kalıcı versiyonu olup, gece ve özel anlar için idealdir."
P-165*,Profumum Roma - Acqua e Zucchero di,Unisex,,,400.0,,,"Limon, Nane, Ananas","Gül, Yasemin, Lavanta","Misk, Amber, Vanilya","İlkbahar,Yaz",Gündüz,"Günlük,Açık Hava,Ofis","Casual,Şık","Taze,Gourmand",Orta,"Ferah,Mutlu,Canlı","Acqua e Zucchero di Profumum Roma, taze ve tatlı notaların birleşimiyle enerjik ve neşeli bir unisex parfümdür."
P-170,Pıno Sılvestre-Pıno Sılvestre,Erkek,,,100.0,,,"Narenciye, Lavanta","Adaçayı, Biberiye","Misk, Sedir","İlkbahar,Yaz",Gündüz,"Günlük,Ofis","Casual,Sportif","Aromatik,Taze",Hafif,"Ferah,Doğal,Canlı","Pino Silvestre, klasik aromatik ve taze notalarla erkekler için ferahlatıcı ve doğal bir koku sunar."
P-171*,Puma-Jam,Erkek,,,400.0,,,"Narenciye, Elma","Misket Limonu, Biber","Misk, Amber","Yaz,İlkbahar",Gündüz,"Günlük,Sportif","Sportif,Casual","Narenciye,Aromatik",Hafif,"Enerjik,Genç,Canlı","Puma Jam, genç ve dinamik erkekler için taze ve meyvemsi notalarla dolu hafif bir parfümdür."
R-111,Roberto Cavalli - Paradiso,Kadın,,,0.0,92,,"Bergamot, Mandalina, Şeftali","Yasemin, Gardenya, Mimoza","Sedir, Misk, Amber","İlkbahar,Yaz","Gündüz,Gece","Romantik,Özel Davet","Şık,Formal","Çiçeksi,Oryantal",Orta,"Çekici,Zarif,Feminen","Roberto Cavalli Paradiso, çiçeksi ve meyvemsi notaların birleşimiyle sofistike ve çekici bir kadın parfümüdür."
R-112,Roberto Cavalli - Just Cavalli Gold For Him,Erkek,,,100.0,,,"Bergamot, Greyfurt, Biber","Tarçın, Paçuli, Kakule","Vanilya, Amber, Misk","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Oryantal,Odunsu",Yoğun,"Güçlü,Çekici,Lüks","Just Cavalli Gold For Him, yoğun oryantal ve odunsu notalarla erkekler için sofistike ve etkileyici bir parfümdür."
R-121,Rochas – Rochas Man,Erkek,,,,75,,"Bergamot, Lavanta, Biber","Sedir, Paçuli, Vetiver","Misk, Amber, Tonka Fasulyesi","İlkbahar,Sonbahar","Gündüz,Gece","Ofis,Özel Davet","Klasik,Formal","Aromatik,Odunsu",Orta,"Zarif,Asil,Erkeksi","Rochas Man, aromatik ve odunsu notaların dengesiyle klasik ve sofistike bir erkek parfümüdür."
R-122,Rochas- Rochas Femme,Kadın,,,,130,,"Bergamot, Mandalina, Ananas","Yasemin, Gül, Gardenya","Sandal ağacı, Misk, Vanilya","İlkbahar, Yaz",Gündüz,"Ofis, Günlük, Açık Hava","Casual, Şık",Çiçeksi,Orta,"ferah, zarif, neşeli","Rochas Femme, taze ve çiçeksi notalarıyla kadınsı ve enerjik bir parfümdür. Günlük kullanıma uygun, hafif ve ferah bir koku sunar."
R-130,Roja - dove a Danger Pour femme,Kadın,,,200.0,285,,"Bergamot, Limon, Greyfurt","Jasmine, Gül, Ylang-Ylang","Paçuli, Amber, Misk","İlkbahar, Sonbahar",Gece,"Özel Davet, Romantik, Gece Hayatı","Şık, Formal","Oryantal, Çiçeksi",Yoğun,"çekici, gizemli, sofistike","Roja Dove A Danger Pour Femme, yoğun ve sofistike çiçeksi-oryantal bir parfümdür. Özel anlar için ideal, etkileyici bir koku deneyimi sunar."
R-131,Roja - dove a goodnight kiss,Kadın,,,200.0,82,,"Mandarin, Bergamot, Nane","Lavanta, Gül, Yasemin","Sedir, Misk, Amber","İlkbahar, Yaz",Gece,"Romantik, Özel Davet","Şık, Formal","Çiçeksi, Aromatik",Orta,"nazik, huzurlu, romantik","Roja Dove A Goodnight Kiss, yumuşak ve zarif çiçeksi aromatik notalarla romantik bir atmosfer yaratır. Gece kullanımı için ideal bir parfümdür."
R-132,Roja Dove a - Elysium Pour Homme,Erkek,,,200.0,,,"Bergamot, Limon, Nane","Jasmine, Vetiver, Paçuli","Ambergris, Misk, Sandal Ağacı","İlkbahar, Yaz","Gündüz, Gece","Ofis, Özel Davet, Günlük","Formal, Şık","Narenciye, Odunsu",Orta,"enerjik, sofistike, ferah","Roja Dove Elysium Pour Homme, taze narenciye ve odunsu notaların dengesiyle modern ve sofistike bir erkek parfümüdür. Hem gündüz hem gece kullanıma uygundur."
R-133*,Roja Dove a - Britannia,Unisex,,,200.0,,,"Bergamot, Limon, Nane","Gül, Yasemin, Sardunya","Misk, Amber, Sandal Ağacı","İlkbahar, Yaz","Gündüz, Gece","Ofis, Günlük, Özel Davet","Formal, Şık","Narenciye, Çiçeksi",Orta,"klasik, dengeli, zarif","Roja Dove Britannia, unisex kullanıma uygun, taze ve çiçeksi narenciye notalarıyla sofistike bir koku sunar. Günlük ve özel anlarda tercih edilebilir."
S-111,Serge lutens chergui,Unisex,,,400.0,52,,"Bergamot, Karanfil, Tarçın","Tütün, Gül, İris","Amber, Misk, Sandal Ağacı","Sonbahar, Kış",Gece,"Özel Davet, Gece Hayatı, Romantik","Şık, Formal","Oryantal, Odunsu",Çok Yoğun,"gizemli, sıcak, etkileyici","Serge Lutens Chergui, baharatlı ve odunsu notalarıyla derin ve kalıcı bir unisex parfümdür. Soğuk havalarda özel anlar için idealdir."
S-112,Shiseido - Zen,Kadın,,,200.0,,,"Bergamot, Mandalina, Yeşil Çay","Sakura, Yasemin, Frezya","Sedir, Misk, Amber","İlkbahar, Yaz",Gündüz,"Ofis, Günlük, Açık Hava","Casual, Şık","Çiçeksi, Aromatik",Hafif,"ferah, huzurlu, zarif","Shiseido Zen, taze ve hafif çiçeksi aromatik notalarıyla günlük kullanıma uygun, rahatlatıcı bir kadın parfümüdür."
S-113*,Santa Maria Novella - Angeli di Firenze,Unisex,,,400.0,,,"Narenciye, Lavanta, Biberiye","Gül, Yasemin, Sardunya","Amber, Misk, Sandal Ağacı","İlkbahar, Yaz","Gündüz, Gece","Günlük, Özel Davet, Açık Hava","Casual, Şık","Narenciye, Çiçeksi",Orta,"canlı, taze, zarif","Santa Maria Novella Angeli di Firenze, narenciye ve çiçeksi notaların dengesiyle ferah ve sofistike bir unisex kokudur. Her ortamda rahatlıkla kullanılabilir."
S-121,Sospiro - Erba Pura,Unisex,,,90.0,330,,"Portakal, Mandalina, Bergamot","Misk, Amber, Vanilya","Misk, Amber, Vanilya","İlkbahar, Yaz","Gündüz, Gece","Günlük, Özel Davet, Açık Hava","Casual, Şık","Gourmand, Narenciye",Orta,"tatlı, enerjik, neşeli","Sospiro Erba Pura, tatlı ve narenciye notalarının birleşimiyle enerjik ve neşeli bir unisex parfümdür. Yaz ve ilkbahar için idealdir."
S-122*,Sospiro - Vibrato,Unisex,,,200.0,,,"Bergamot, Limon, Nane","Gül, Yasemin, Tarçın","Amber, Misk, Paçuli","Sonbahar, Kış",Gece,"Özel Davet, Gece Hayatı","Şık, Formal","Oryantal, Baharatlı",Yoğun,"gizemli, sıcak, çekici","Sospiro Vibrato, baharatlı ve odunsu notalarıyla derin ve etkileyici bir unisex parfümdür. Soğuk havalar ve özel geceler için uygundur."
S-131,Stephane humbert - lucas 77 god of fire,Unisex,,,200.0,135,,"Tarçın, Karanfil, Biber","Tütün, Deri, Gül","Amber, Oud, Misk","Sonbahar, Kış",Gece,"Özel Davet, Gece Hayatı, Romantik","Şık, Formal","Deri, Oryantal",Çok Yoğun,"güçlü, karizmatik, tutkulu","Stephane Humbert Lucas 777 God of Fire, yoğun deri ve baharat notalarıyla güçlü ve karizmatik bir unisex parfümdür. Gece kullanımı için uygundur."
T-101,The Spirit Of Dubai - Turath,Unisex,,,,,,"Sandal Ağacı, Oud, Safran","Amber, Misk, Gül","Vanilya, Deri, Tütün","Sonbahar, Kış",Gece,"Özel Davet, Gece Hayatı","Formal, Şık","Oryantal, Odunsu",Çok Yoğun,"lüks, gizemli, etkileyici","The Spirit Of Dubai Turath, zengin odunsu ve oryantal notalarıyla lüks ve etkileyici bir unisex parfümdür. Özel geceler için idealdir."
T-111,Thierry mugler - alien man,Erkek,,,350.0,125,,"Bergamot, Greyfurt, Biber","Lavanta, Adaçayı, Paçuli","Misk, Amber, Deri","İlkbahar, Sonbahar","Gündüz, Gece","Ofis, Günlük, Gece Hayatı","Casual, Şık","Aromatik, Odunsu",Orta,"dinamik, özgüvenli, maskülen","Thierry Mugler Alien Man, aromatik ve odunsu notaların birleşimiyle modern ve maskülen bir erkek parfümüdür. Hem gündüz hem gece kullanıma uygundur."
T-112,Thierry mugler - alien,Kadın,,,,,,"Sarı Yasemin, Karanfil, Kakule","Amber, Misk, Sandal Ağacı","Vanilya, Kehribar, Misk","Sonbahar, Kış",Gece,"Özel Davet, Romantik, Gece Hayatı","Şık, Formal","Oryantal, Çiçeksi",Çok Yoğun,"gizemli, çekici, büyüleyici","Thierry Mugler Alien, yoğun amber ve çiçeksi notalarla gizemli ve büyüleyici bir kadın parfümüdür. Özel geceler için idealdir."
T-113,Thierry Mugler - Alien Goddess,Kadın,,,100.0,,,"Bergamot, Mandalina, Zencefil","Yasemin, Gül, İris","Vanilya, Sandal Ağacı, Misk","İlkbahar, Sonbahar","Gündüz, Gece","Özel Davet, Romantik, Günlük","Şık, Formal","Çiçeksi, Oryantal",Orta,"zarif, güçlü, sofistike","Thierry Mugler Alien Goddess, çiçeksi ve oryantal notaların dengesiyle sofistike ve zarif bir kadın parfümüdür. Hem gündüz hem gece kullanıma uygundur."
T-114,Thierry Mugler - Angel,Kadın,,,100.0,,,"Bergamot, Kırmızı Meyve, Mandalina, Karamel","Yasemin, Vanilya, Çikolata, Bal","Paçuli, Amber, Tonka Fasulyesi, Vanilya","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı,Romantik","Şık,Formal","Gourmand,Oryantal",Çok Yoğun,"Çekici, Gizemli, Güçlü, Baştan çıkarıcı","Angel, tatlı ve oryantal notalarıyla benzersiz bir kadın parfümüdür. Yoğun ve kalıcı yapısıyla gece kullanımı için idealdir."
T-115,Thierry Mugler - A Man,Erkek,,,100.0,,,"Bergamot, Karanfil, Tarçın","Kahve, Kakao, Tütün","Paçuli, Vanilya, Amber","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Oryantal,Gourmand",Yoğun,"Erkeksi, Güçlü, Sıcak, Karizmatik","A Man, zengin baharat ve odunsu notalarla erkeksi ve sofistike bir koku sunar. Gece kullanımı için uygundur."
T-116,Thierry Mugler - A  Man Pure Havane,Erkek,,,200.0,,,"Tütün, Bal, Karamel","Vanilya, Kakao, Kahve","Paçuli, Amber, Sedir","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Gourmand,Oryantal",Çok Yoğun,"Sıcak, Yoğun, Çekici, Lüks","A Man Pure Havane, tütün ve bal notalarıyla zengin ve sıcak bir koku deneyimi sunar. Özellikle soğuk havalarda tercih edilir."
T-117,Thierry Mugler - A Man Pure Malt,Erkek,,,200.0,,,"Arpa Maltı, Bergamot, Karanfil","Kahve, Kakao, Tütün","Paçuli, Amber, Vanilya","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Oryantal,Aromatik",Yoğun,"Erkeksi, Yoğun, Sıcak, Karizmatik","A Man Pure Malt, malt ve baharat notalarıyla zengin ve sofistike bir erkek parfümüdür. Gece kullanımı için uygundur."
T-121,Tiziana Terenzi - Gumin,Unisex,,,300.0,140,,"Narenciye, Bergamot, Limon","Misk, Lavanta, Yasemin","Amber, Sedir, Misk","İlkbahar,Yaz",Gündüz,"Günlük,Ofis,Açık Hava","Casual,Sportif","Narenciye,Aromatik",Hafif,"Ferah, Canlı, Enerjik, Neşeli","Gumin, taze narenciye ve aromatik notalarla ferah ve enerjik bir unisex parfümdür. Günlük kullanım için idealdir."
T-122,Tiziana Terenzi - Halley,Unisex,,,200.0,240,,"Bergamot, Mandalina, Ananas","Yasemin, Gül, Misk","Amber, Sedir, Vanilya","İlkbahar,Yaz","Gündüz,Gece","Günlük,Özel Davet,Açık Hava","Casual,Şık","Narenciye,Çiçeksi,Oryantal",Orta,"Zarif, Canlı, Çekici, Ferah","Halley, meyvemsi ve çiçeksi notaların dengeli birleşimiyle hem gündüz hem gece kullanıma uygun unisex bir parfümdür."
T-123,Tiziana Terenzi – Kirke,Unisex,,,550.0,192,,"Bergamot, Mandalina, Ananas","Yasemin, Gül, Misk","Amber, Sedir, Vanilya","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı,Romantik","Şık,Formal","Oryantal,Çiçeksi",Yoğun,"Baş döndürücü, Gizemli, Çekici, Lüks","Kirke, yoğun oryantal ve çiçeksi notalarıyla etkileyici ve baştan çıkarıcı bir unisex parfümdür. Gece kullanımı için uygundur."
T-124,Tiziana Terenzi – Telea,Unisex,,,250.0,305,,"Narenciye, Bergamot, Limon","Lavanta, Yasemin, Misk","Amber, Sedir, Misk","İlkbahar,Yaz",Gündüz,"Günlük,Ofis,Açık Hava","Casual,Sportif","Narenciye,Aromatik",Hafif,"Ferah, Canlı, Enerjik, Neşeli","Telea, taze narenciye ve aromatik notalarla ferahlatıcı ve enerjik bir unisex kokudur. Günlük kullanım için uygundur."
T-125,Tiziana Terenzi – TYL Assoluto,Unisex,,,150.0,195,,"Bergamot, Mandalina, Limon","Yasemin, Gül, Misk","Amber, Sedir, Vanilya","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı,Romantik","Şık,Formal","Oryantal,Çiçeksi",Yoğun,"Baş döndürücü, Gizemli, Çekici, Lüks","TYL Assoluto, yoğun oryantal ve çiçeksi notalarla sofistike ve baştan çıkarıcı bir unisex parfümdür. Gece için idealdir."
T-126,Tiziana Terenzi - Bianco Puro U138,Unisex,,,200.0,225,,"Bergamot, Limon, Nane","Lavanta, Yasemin, Misk","Amber, Sedir, Misk","İlkbahar,Yaz",Gündüz,"Günlük,Ofis,Açık Hava","Casual,Sportif","Narenciye,Aromatik",Hafif,"Ferah, Canlı, Enerjik, Neşeli","Bianco Puro U138, taze ve ferah narenciye notalarıyla günlük kullanıma uygun hafif bir unisex parfümdür."
T-127,Tiziana Terenzi - Tyrenum,Unisex,,,90.0,135,,"Bergamot, Mandalina, Limon","Yasemin, Gül, Misk","Amber, Sedir, Vanilya","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı,Romantik","Şık,Formal","Oryantal,Çiçeksi",Yoğun,"Baş döndürücü, Gizemli, Çekici, Lüks","Tyrenum, zengin oryantal ve çiçeksi notalarla sofistike ve etkileyici bir unisex parfümdür. Gece kullanımı için uygundur."
T-128,Tiziana Terenzi - Sirrah Extrait De Parfum,Unisex,,,200.0,,,"Narenciye, Bergamot, Limon","Lavanta, Yasemin, Misk","Amber, Sedir, Misk","İlkbahar,Yaz",Gündüz,"Günlük,Ofis,Açık Hava","Casual,Sportif","Narenciye,Aromatik",Hafif,"Ferah, Canlı, Enerjik, Neşeli","Sirrah Extrait De Parfum, taze ve hafif narenciye notalarıyla günlük kullanıma uygun unisex bir parfümdür."
